Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.wcwp
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
Signal value: 0
force in 57506
586290000 >> iteration no: 0
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
985815000 >> Error detected...
986540000 >> Error detected...
987515000 >> Error detected...
990915000 >> Error detected...
991540000 >> Error detected...
993265000 >> Error detected...
994440000 >> Error detected...
997290000 >> Error detected...
997565000 >> Error detected...
998140000 >> Error detected...
998465000 >> Error detected...
1000040000 >> Error detected...
1000665000 >> Error detected...
1001165000 >> Error detected...
1002340000 >> Error detected...
1003190000 >> Error detected...
1003440000 >> Error detected...
1003765000 >> Error detected...
1004340000 >> Error detected...
1005315000 >> Error detected...
1008890000 >> Error detected...
1009515000 >> Error detected...
1011065000 >> Error detected...
1012415000 >> Error detected...
1015265000 >> Error detected...
1015540000 >> Error detected...
1016115000 >> Error detected...
1016440000 >> Error detected...
1017840000 >> Error detected...
1018640000 >> Error detected...
1019140000 >> Error detected...
1020315000 >> Error detected...
1021165000 >> Error detected...
1021415000 >> Error detected...
1021740000 >> Error detected...
1022315000 >> Error detected...
1023290000 >> Error detected...
1026865000 >> Error detected...
1027490000 >> Error detected...
1029040000 >> Error detected...
1030215000 >> Error detected...
1033240000 >> Error detected...
1033515000 >> Error detected...
1034090000 >> Error detected...
1034415000 >> Error detected...
1035815000 >> Error detected...
1036440000 >> Error detected...
1036940000 >> Error detected...
1038290000 >> Error detected...
1039140000 >> Error detected...
1039390000 >> Error detected...
1039715000 >> Error detected...
1040290000 >> Error detected...
1041265000 >> Error detected...
1044840000 >> Error detected...
1045465000 >> Error detected...
1047015000 >> Error detected...
1048190000 >> Error detected...
1051215000 >> Error detected...
1051490000 >> Error detected...
1052065000 >> Error detected...
1052390000 >> Error detected...
1053790000 >> Error detected...
1054415000 >> Error detected...
1054915000 >> Error detected...
1056090000 >> Error detected...
1057115000 >> Error detected...
1057365000 >> Error detected...
1057690000 >> Error detected...
1058265000 >> Error detected...
1059240000 >> Error detected...
1062640000 >> Error detected...
1063440000 >> Error detected...
1064990000 >> Error detected...
1066165000 >> Error detected...
1069015000 >> Error detected...
1069290000 >> Error detected...
1070015000 >> Error detected...
1070340000 >> Error detected...
1071740000 >> Error detected...
1072365000 >> Error detected...
1072865000 >> Error detected...
1074040000 >> Error detected...
1074890000 >> Error detected...
1075140000 >> Error detected...
1075465000 >> Error detected...
1076190000 >> Error detected...
1077165000 >> Error detected...
1080565000 >> Error detected...
1081190000 >> Error detected...
1082915000 >> Error detected...
1084090000 >> Error detected...
1086940000 >> Error detected...
1087215000 >> Error detected...
1087790000 >> Error detected...
1088115000 >> Error detected...
1089690000 >> Error detected...
1090315000 >> Error detected...
1090815000 >> Error detected...
1091990000 >> Error detected...
1092840000 >> Error detected...
1093090000 >> Error detected...
1093415000 >> Error detected...
1093990000 >> Error detected...
1094965000 >> Error detected...
1095965000 >> Error detected...
1096265000 >> Error detected...
1096540000 >> Error detected...
1097190000 >> Error detected...
1097815000 >> Error detected...
1098465000 >> Error detected...
1099065000 >> Error detected...
1099915000 >> Error detected...
1100165000 >> Error detected...
1100490000 >> Error detected...
1101065000 >> Error detected...
1102215000 >> Error detected...
1105615000 >> Error detected...
1106240000 >> Error detected...
1107790000 >> Error detected...
